color_id,model_id,gender,media1,media2,media3
255255255,8770,M,https://unsplash.com/photos/VJIL_YZrpyQ,https://unsplash.com/photos/VJIL_YZrpyQ,https://unsplash.com/photos/VJIL_YZrpyQ
245245245,8771,M,https://unsplash.com/photos/82fp_wYFXuo,https://unsplash.com/photos/82fp_wYFXuo,https://unsplash.com/photos/82fp_wYFXuo
220220220,8772,M,https://unsplash.com/photos/GgEtIbD0hVo,https://unsplash.com/photos/GgEtIbD0hVo,https://unsplash.com/photos/GgEtIbD0hVo
211211211,8773,F,https://unsplash.com/photos/fUEP0djb1hA,https://unsplash.com/photos/fUEP0djb1hA,https://unsplash.com/photos/fUEP0djb1hA
192192192,8774,M,https://unsplash.com/photos/VWfRT1QTFEE,https://unsplash.com/photos/VWfRT1QTFEE,https://unsplash.com/photos/VWfRT1QTFEE
169169169,8775,M,https://unsplash.com/photos/ZIW_wcbjKLw,https://unsplash.com/photos/ZIW_wcbjKLw,https://unsplash.com/photos/ZIW_wcbjKLw
255255255,8776,M,https://unsplash.com/photos/ad047kyPBh8,https://unsplash.com/photos/ad047kyPBh8,https://unsplash.com/photos/ad047kyPBh8
272155255,8777,M,https://unsplash.com/photos/Mp0qYV0fCfA,https://unsplash.com/photos/Mp0qYV0fCfA,https://unsplash.com/photos/Mp0qYV0fCfA
312211232,8778,M,https://unsplash.com/photos/Cbh93NpfWeg,https://unsplash.com/photos/Cbh93NpfWeg,https://unsplash.com/photos/Cbh93NpfWeg
169169169,8779,F,https://unsplash.com/photos/Uc4RBL4edEc,https://unsplash.com/photos/Uc4RBL4edEc,https://unsplash.com/photos/Uc4RBL4edEc
255257777,8780,F,https://unsplash.com/photos/9ttgG-BqpzQ,https://unsplash.com/photos/9ttgG-BqpzQ,https://unsplash.com/photos/9ttgG-BqpzQ
255221231,8781,F,https://unsplash.com/photos/BIkif7IMZSQ,https://unsplash.com/photos/BIkif7IMZSQ,https://unsplash.com/photos/BIkif7IMZSQ